Potential (V),Capacity (Ah),Current (A)
3.49179509,0.0663604893,0.0479935864
3.49196479,0.0664280807,0.0479938609
3.49214868,0.0664956721,0.0479941934
3.49232296,0.0665632635,0.0479937481
3.49249786,0.0666308549,0.0479940958
3.49268122,0.0666984463,0.0479936993
3.49284886,0.0667660377,0.0479938914
3.49302909,0.0668336291,0.0479940989
3.49320116,0.0669012205,0.0479937633
3.49337429,0.0669688119,0.0479940744
3.49355598,0.0670364033,0.0479936108
3.49372293,0.0671039947,0.0479938243
3.4939021,0.0671715861,0.047994108
3.49407172,0.0672391775,0.0479938457
3.49424134,0.0673067689,0.047993986
3.49442204,0.0673743603,0.0479936779
3.49458601,0.0674419517,0.0479937572
3.49476434,0.0675095431,0.047994108
3.49493175,0.0675771345,0.0479937694
3.49510167,0.067644726,0.0479939921
3.49528084,0.0677123173,0.0479936535
3.49544466,0.0677799087,0.0479939006
3.4956223,0.0678475001,0.0479941812
3.49578872,0.0679150915,0.0479937511
3.49595704,0.0679826829,0.0479939524
3.49613415,0.0680502742,0.047993684
3.49629858,0.0681178656,0.0479938792
3.49647454,0.068185457,0.0479941385
3.4966421,0.0682530483,0.0479938823
3.4968086,0.0683206397,0.0479939951
3.49698593,0.0683882311,0.0479936962
3.49714838,0.0684558225,0.047993928
3.49732495,0.0685234139,0.0479940653
3.49749228,0.0685910053,0.0479937938
3.49765939,0.0686585966,0.0479939555
3.49783596,0.068726188,0.047993684
3.49800009,0.0687937794,0.0479939097
3.49817589,0.0688613708,0.0479941172
3.49834239,0.0689289622,0.0479937816
3.49850911,0.0689965536,0.0479939036
3.49868751,0.069064145,0.0479936108
3.49884881,0.0691317365,0.0479939219
3.49902493,0.0691993279,0.0479941385
3.49919195,0.0692669193,0.047993803
3.49935868,0.0693345107,0.0479940073
3.49953716,0.0694021021,0.0479937267
3.49969838,0.0694696936,0.0479938304
3.49987633,0.0695372849,0.0479940744
3.5000442,0.0696048764,0.0479937725
3.50021229,0.0696724678,0.0479939982
3.50039047,0.0697400592,0.0479936169
3.50055322,0.0698076506,0.0479937908
3.50073216,0.069875242,0.0479941843
3.50089812,0.0699428334,0.0479937938
3.50106957,0.0700104248,0.0479940592
3.50124782,0.0700780162,0.0479937176
3.50141355,0.0701456076,0.0479938579
3.50159051,0.070213199,0.047994166
3.50175753,0.0702807904,0.0479937725
3.50192975,0.0703483819,0.0479939951
3.50211113,0.0704159733,0.0479937145
3.50227679,0.0704835647,0.047993867
3.5024555,0.0705511561,0.0479941538
3.50262596,0.0706187475,0.0479938945
3.50279848,0.0706863389,0.0479939189
3.50297895,0.0707539304,0.0479937359
3.50314529,0.0708215218,0.0479939067
3.50332591,0.0708891132,0.0479941294
3.50349927,0.0709567046,0.0479938426
3.5036708,0.071024296,0.0479940287
3.50385585,0.0710918874,0.0479935895
3.50402509,0.0711594788,0.0479938945
3.50420731,0.0712270702,0.0479941904
3.50437999,0.0712946616,0.047993806
3.50455488,0.071362253,0.0479939951
3.50473885,0.0714298444,0.0479935742
3.50490962,0.0714974358,0.0479938091
3.50509451,0.0715650272,0.0479941599
3.50526925,0.0716326186,0.0479937694
3.50544399,0.07170021,0.0479939555
3.50563148,0.0717678014,0.0479937054
3.50580492,0.0718353928,0.0479938365
3.50598882,0.0719029842,0.0479940958
3.50616539,0.0719705756,0.0479938091
3.5063444,0.072038167,0.0479940866
3.50653258,0.0721057583,0.0479935895
3.50670648,0.0721733497,0.047993925
3.50689656,0.0722409411,0.0479941599
3.50707466,0.0723085325,0.0479936993
3.5072552,0.0723761239,0.0479939738
3.50744589,0.0724437153,0.0479936505
3.507622,0.0725113067,0.0479939067
3.50781308,0.0725788981,0.0479941416
3.5079937,0.0726464895,0.047993803
3.50817683,0.0727140809,0.0479940256
3.50837081,0.0727816723,0.0479937603
3.50854829,0.0728492637,0.0479939616
3.5087409,0.0729168551,0.0479941751
3.5089251,0.0729844465,0.0479937725
3.50911053,0.0730520379,0.0479939402
3.50930779,0.0731196293,0.0479936078
3.50948733,0.0731872206,0.0479937969
3.50968116,0.073254812,0.047994108
3.5098672,0.0733224033,0.0479938243
3.51005293,0.0733899947,0.0479940531
3.51025194,0.073457586,0.0479935681
3.51043393,0.0735251774,0.0479938243
3.51063173,0.0735927687,0.0479940989
3.51082051,0.0736603601,0.0479937603
3.51101037,0.0737279515,0.0479940073
3.51121167,0.0737955428,0.047993623
3.51139549,0.0738631342,0.0479939036
3.51159535,0.0739307256,0.047994105
3.51178787,0.0739983169,0.0479938091
3.51197796,0.0740659083,0.0479939707
3.51218285,0.0741334997,0.0479935254
3.51236828,0.0742010911,0.0479938914
3.51257294,0.0742686825,0.0479941263
3.51276524,0.0743362739,0.0479937877
3.51295952,0.0744038653,0.0479940836
3.51316304,0.0744714567,0.0479935986
3.51335426,0.0745390481,0.0479939006
3.51355778,0.0746066395,0.0479940409
3.5137555,0.0746742309,0.0479938518
3.513952,0.0747418223,0.04799405
3.51415956,0.0748094137,0.0479937603
3.5143527,0.0748770051,0.0479937969
3.51455965,0.0749445965,0.0479941507
3.5147576,0.0750121879,0.0479937694
3.51495768,0.0750799126,0.047993864
3.51516777,0.075147504,0.0479937389
3.51536556,0.0752150954,0.0479939524
3.5155748,0.0752826868,0.047994166
3.51577649,0.0753502782,0.0479937938
3.51597734,0.0754178697,0.0479940043
3.51619032,0.075485461,0.0479936444
3.51638628,0.0755530525,0.0479938457
3.51659896,0.0756206439,0.0479941507
3.51680141,0.0756882353,0.0479937755
3.51700486,0.0757558267,0.0479939677
3.51722013,0.0758234181,0.0479936871
3.51741876,0.0758910095,0.0479938731
3.51763419,0.0759586009,0.0479941019
3.51784069,0.0760261923,0.0479938182
3.51804734,0.0760937837,0.047994108
3.51826223,0.0761613752,0.0479937237
3.51846315,0.0762289666,0.0479939036
3.5186795,0.076296558,0.0479941294
3.51888668,0.0763641494,0.0479938823
3.51909669,0.0764317408,0.0479940531
3.51931334,0.0764993322,0.0479936535
3.51951586,0.0765669236,0.0479938914
3.51973541,0.076634515,0.047994105
3.51994451,0.0767021064,0.0479938213
3.52015474,0.0767696978,0.0479939799
3.52037613,0.0768372892,0.0479936078
3.52058033,0.0769048806,0.0479937664
3.52080187,0.076972472,0.047994166
3.52101363,0.0770400634,0.0479937908
3.52122761,0.0771076548,0.0479939494
3.52145082,0.0771752462,0.0479937054
3.5216577,0.0772428376,0.0479938975
3.52187908,0.0773104291,0.0479942087
3.52209253,0.0773780205,0.0479937389
3.5223091,0.0774456119,0.0479939738
3.52253231,0.0775132033,0.0479937206
3.52274041,0.0775807947,0.0479937542
3.52296538,0.0776483861,0.0479941782
3.52318036,0.0777159775,0.0479936871
3.52339563,0.0777835689,0.0479939616
3.52362533,0.0778511603,0.0479937115
3.52383534,0.0779187517,0.0479939006
3.52406222,0.0779863431,0.0479940989
3.52427795,0.0780539345,0.0479938365
