Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15002,20003.9741,4.0107,0.64007,0.4038800001144409,2.5617001056671143,2.6129,-0.60169,,,,,2.6129,-0.6016726573426593,0.0162622377622305,2.4427531546744867,0.005599999999999999
-0.15002,20063.9735,4.0097,0.64257,,,2.6229,-0.60154,4.0097,0.64257,-2.346886798106482,-0.4271428571428544,2.6229,-0.601504662004664,0.0166037296037266,2.4427531546744867,0.005599999999999999
-0.15001,20123.9732,4.0086,0.64507,0.0,0.0,2.6329,-0.60133,,,,,2.6329,-0.6013405827505848,0.0159390036592661,2.4427531546744867,0.005599999999999999
-0.15001,20183.9727,4.0075,0.64757,,,2.643,-0.60117,,,,,2.643,-0.6011843822843843,0.0155126505761984,2.4427531546744867,0.005599999999999999
-0.15001,20243.9725,4.0064,0.65007,0.0,0.0,2.653,-0.601,4.0064,0.65007,-2.320346320346573,-0.4314285714285688,2.653,-0.6010287878787898,0.0160687645687644,2.4427531546744867,0.005599999999999999
-0.15001,20303.9749,4.0055,0.65257,,2.49399995803833,2.663,-0.60087,,,,,2.663,-0.600863006993009,0.0158461538461445,2.4512936483753167,0.005599999999999999
-0.15001,20363.9738,4.0045,0.65507,0.0,,2.673,-0.60072,,,,,2.673,-0.6007118648018669,0.014784382284386,2.4512936483753167,0.005599999999999999
-0.15002,20423.9753,4.0034,0.65757,,0.0,2.683,-0.60059,,,,,2.683,-0.6005673193473213,0.0148741258741331,2.4512936483753167,0.005599999999999999
-0.15002,20483.9746,4.0022,0.66007,0.0,,2.693,-0.60041,4.0022,0.66007,-2.410338216979355,-0.4150000000000204,2.693,-0.6004143822843843,0.01577855477856,2.4512936483753167,0.005599999999999999
-0.15001,20543.9737,4.0012,0.66257,0.4212000072002411,0.0,2.703,-0.60022,,,,,2.703,-0.6002517482517502,0.0161433566433508,2.4512936483753167,0.005599999999999999
-0.15002,20603.9734,4.0003,0.66507,,2.407700061798096,2.713,-0.60013,,,,,2.713,-0.6000915151515173,0.0160675990675969,2.427437584762769,0.005599999999999999
-0.15001,20663.9756,3.9993,0.66757,0.0,,2.723,-0.59993,,,,,2.723,-0.5999303962703982,0.0159370629370698,2.427437584762769,0.005599999999999999
-0.15001,20723.9731,3.9981,0.67007,,0.0,2.733,-0.59975,3.9981,0.67007,-2.439024390243901,-0.4099999999999681,2.733,-0.5997727738927758,0.0159219114219126,2.427437584762769,0.005599999999999999
